iter	RMSE
328	21.17124234
329	21.1208155
330	21.07118526
331	21.02234021
332	20.91720501
333	20.642858
334	20.53809071
335	20.43725317
336	20.39041744
337	20.34316263
338	20.29631357
339	20.05715344
340	20.0109492
341	19.83393076
342	19.66005904
343	19.56883033
344	19.52423659
345	19.48045163
346	19.39368186
347	19.3354421
348	19.16488521
349	19.12606485
350	19.08790281
351	18.90628599
352	18.74243594
353	18.69847402
354	18.62119834
355	18.58516813
356	18.54486216
357	18.5105901
358	18.47623398
359	18.26469825
360	18.23108079
361	18.19868805
362	18.16240762
363	18.08584901
364	18.01740062
365	17.97850912
366	17.94715457
367	17.7792167
368	17.6044712
369	17.43851587
370	17.40746433
371	17.37912243
372	17.3508079
373	17.17861565
374	17.00120536
375	16.84073588
376	16.81211522
377	16.65922039
378	16.61812281
379	16.46457559
380	16.43815162
381	16.41215511
382	16.22399082
383	16.1985327
384	16.05048098
385	16.01338444
386	15.82007072
387	15.79321164
388	15.65588263
389	15.63115011
390	15.59907983
391	15.57579949
392	15.44118808
393	15.25933867
394	15.11557185
395	14.95457501
396	14.77641146
397	14.6414115
398	14.61681307
399	14.59262523
400	14.41374491
401	14.25783875
402	14.11345507
403	14.01274386
404	13.85960641
405	13.82217029
406	13.79814801
407	13.62292055
408	13.60083305
409	13.48407809
410	13.39652966
411	13.37594026
412	13.21228123
413	13.19124487
414	13.17141222
415	13.05631614
416	12.97151799
417	12.89261211
418	12.78150662
419	12.67375556
420	12.65395827
421	12.56690253
422	12.54841993
423	12.46352592
424	12.3859781
425	12.31045242
426	12.16169547
427	12.08911551
428	12.07034879
429	11.92610517
430	11.9093234
431	11.83995979
432	11.77105311
433	11.70188276
434	11.62730754
435	11.5328343
436	11.51729934
437	11.43860823
438	11.32020727
439	11.19272021
440	11.11584722
441	11.03442986
442	11.01345862
443	10.94396566
444	10.87967012
445	10.82631197
446	10.75362874
447	10.64503179
448	10.59235932
449	10.55983793
450	10.49696583
451	10.38876064
452	10.37414921
453	10.35718847
454	10.33389728
455	10.29920339
456	10.20530508
457	10.13726595
458	10.11587884
459	10.0166974
460	9.98966251
461	9.888366829
462	9.803036037
463	9.70249177
464	9.686858178
465	9.5792894
466	9.566184605
467	9.477532253
468	9.46526853
469	9.366318657
470	9.346191213
471	9.260660171
472	9.219202781
473	9.123503791
474	9.068409691
475	9.053671084
476	9.040605301
477	9.029265425
478	8.933589117
479	8.845555593
480	8.762025634
481	8.750903541
482	8.74027158
483	8.722850256
484	8.712561112
485	8.634632119
486	8.55029378
487	8.462280807
488	8.43818446
489	8.428066228
490	8.371848
491	8.29276602
492	8.27677359
493	8.196925295
494	8.128285251
495	8.118643816
496	8.109177413
497	8.053770859
498	8.024158675
499	8.009012641
500	7.934193522
501	7.865830886
502	7.803415884
503	7.735026467
504	7.66225565
505	7.65352547
506	7.644955244
507	7.636542028
508	7.569558207
509	7.503996017
510	7.462514879
511	7.405765649
512	7.350167255
513	7.291602497
514	7.237915841
515	7.176968004
516	7.126589988
517	7.056545766
518	7.043708033
519	6.993483926
520	6.944317925
521	6.93494084
522	6.895698488
523	6.83266467
524	6.782160736
525	6.725699837
526	6.661635961
527	6.601067513
528	6.550285193
529	6.515949071
530	6.470160415
531	6.414473699
532	6.377979961
533	6.335887117
534	6.30432288
535	6.25139102
536	6.208975172
537	6.160256052
538	6.134198051
539	6.104280452
540	6.09384047
541	6.041543026
542	6.028697496
543	6.003099223
544	5.952954486
545	5.92067958
546	5.874245725
547	5.84505343
548	5.794634257
549	5.764363495
550	5.754888812
551	5.73147585
552	5.692209887
553	5.682281326
554	5.654188502
555	5.61713939
556	5.576139432
557	5.541326763
558	5.510781557
559	5.46986609
560	5.432848018
561	5.39540729
562	5.353951179
563	5.316575685
564	5.27544126
565	5.235217103
566	5.216061864
567	5.18348621
568	5.148101988
569	5.12310687
570	5.085273867
571	5.057670631
572	5.026350037
573	4.994786494
574	4.979389847
575	4.936504611
576	4.912534789
577	4.882510106
578	4.848320718
579	4.813510108
580	4.775493486
581	4.753474608
582	4.731534343
583	4.707131051
584	4.6969426
585	4.673304945
586	4.634333713
587	4.627772398
588	4.592310851
589	4.561979262
590	4.540348988
591	4.523751583
592	4.49723713
593	4.471102383
594	4.452488673
595	4.445333486
596	4.422694603
597	4.396874169
598	4.372957965
599	4.349845782
600	4.330288754
601	4.307524662
602	4.28892677
603	4.262383621
604	4.256074849
605	4.227887635
606	4.20807874
607	4.184964133
608	4.161434065
609	4.137883443
610	4.120340142
611	4.102771101
612	4.082831476
613	4.074136142
614	4.047174954
615	4.026845626
616	4.007235527
617	3.987682568
618	3.96524042
619	3.959637288
620	3.942537623
621	3.916867921
622	3.897454512
623	3.882112953
624	3.860788683
625	3.836940526
626	3.817303372
627	3.811684315
628	3.791556021
629	3.772320934
630	3.757158526
631	3.737509432
632	3.717160144
633	3.699406345
634	3.676290991
635	3.65524744
636	3.635463018
637	3.620778687
638	3.604952081
639	3.584066493
640	3.563291707
641	3.551654627
642	3.541754634
643	3.518627607
644	3.503750139
645	3.488857461
646	3.474844724
647	3.460033005
648	3.44375598
649	3.433180502
650	3.421024448
651	3.414064607
652	3.393871947
653	3.384944982
654	3.373062593
655	3.365108968
656	3.352410503
657	3.341096428
658	3.321232326
659	3.302590268
660	3.293226487
661	3.277710561
662	3.260504552
663	3.251255914
664	3.240704344
665	3.228903246
666	3.214846343
667	3.199287255
668	3.182063633
669	3.174325056
670	3.156952572
671	3.142975
672	3.135556682
673	3.114910473
674	3.102107875
675	3.086614124
676	3.073559686
677	3.063972849
678	3.057906939
679	3.051267017
680	3.040712808
681	3.028312813
682	3.014123359
683	3.004451505
684	2.983582345
685	2.976302812
686	2.964346452
687	2.951652002
688	2.949184917
689	2.939578842
690	2.930176816
691	2.921133894
692	2.907057426
693	2.892421216
694	2.880605332
695	2.875270092
696	2.868215335
697	2.861631866
698	2.85184035
699	2.844344288
700	2.837139593
701	2.8260761
702	2.814742014
703	2.809335309
704	2.806308744
705	2.7973313
706	2.784820034
707	2.772736232
708	2.768134717
709	2.765312692
710	2.754187359
711	2.734746761
712	2.731600607
713	2.72880596
714	2.720711183
715	2.710365535
716	2.698314747
717	2.689416271
718	2.678135198
719	2.676407934
720	2.671406157
721	2.664342165
722	2.650837699
723	2.644086938
724	2.639375576
725	2.637678321
726	2.627496134
727	2.612046854
728	2.605165548
729	2.593170253
730	2.587486429
731	2.578847438
732	2.576524681
733	2.564186017
734	2.561916656
735	2.549806778
736	2.532473296
737	2.526857174
738	2.524269495
739	2.521176445
740	2.510107154
741	2.498761258
742	2.492886874
743	2.481521225
744	2.471174886
745	2.459887072
746	2.450765339
747	2.448904465
748	2.438873272
749	2.436776686
750	2.427547019
751	2.420898176
752	2.412896281
753	2.405104519
754	2.390847126
755	2.37879247
756	2.371238656
757	2.36124433
758	2.351614701
759	2.344873888
760	2.332844961
761	2.324487032
762	2.322978907
763	2.315816385
764	2.313319539
765	2.305503403
766	2.303072834
767	2.297666327
768	2.286483587
769	2.277456041
770	2.267421821
771	2.257245663
772	2.24701747
773	2.244068213
774	2.238110055
775	2.229048995
776	2.21991984
777	2.217704836
778	2.211826474
779	2.203772432
780	2.193713128
781	2.188885062
782	2.182237243
783	2.17226061
784	2.166731373
785	2.162854521
786	2.155257918
787	2.146179849
788	2.138121522
789	2.128458344
790	2.126586372
791	2.125574164
792	2.119540556
793	2.112138416
794	2.104036659
795	2.098611358
796	2.089572542
797	2.082943145
798	2.081384186
799	2.079679126
800	2.072524471
801	2.070067894
802	2.06350785
803	2.055450664
804	2.05397784
805	2.04596315
806	2.037628104
807	2.031304056
808	2.024704182
809	2.023625338
810	2.017667841
811	2.011720178
812	2.006872881
813	2.000576599
814	1.993571526
815	1.985105317
816	1.981470985
817	1.978467091
818	1.972512609
819	1.968841832
820	1.966367009
821	1.959612293
822	1.952593132
823	1.948753675
824	1.945777146
825	1.939666924
826	1.933022967
827	1.929168011
828	1.92175026
829	1.913524629
830	1.911930915
831	1.906480689
832	1.900898491
833	1.899957627
834	1.894350497
835	1.892830873
836	1.892019651
837	1.884512645
838	1.882043941
839	1.875891199
840	1.874885326
841	1.867761177
842	1.861296784
843	1.857466321
844	1.849659155
845	1.848362789
846	1.839292115
847	1.836100053
848	1.830661125
849	1.82440898
850	1.819904186
851	1.813397625
852	1.805870141
853	1.802429688
854	1.795231664
855	1.790584049
856	1.785823694
857	1.781716906
858	1.780489679
859	1.776280241
860	1.770301661
861	1.769349784
862	1.765468038
863	1.758178821
864	1.75171369
865	1.743678606
866	1.738186644
867	1.734781209
868	1.728081754
869	1.71919711
870	1.718352152
871	1.70945855
872	1.706807556
873	1.700852546
874	1.695906159
875	1.693353705
876	1.686772161
877	1.685872376
878	1.684811142
879	1.677582176
880	1.670853468
881	1.663419776
882	1.660626085
883	1.659980258
884	1.65770659
885	1.655679906
886	1.649406586
887	1.648601079
888	1.642682945
889	1.638505437
890	1.637907684
891	1.631970453
892	1.624792818
893	1.618400227
894	1.61665111
895	1.616062425
896	1.613731041
897	1.612969177
898	1.609503913
899	1.602982192
900	1.598115506
901	1.59476489
902	1.591086229
903	1.585632783
904	1.583652112
905	1.576424039
906	1.575857514
907	1.57150162
908	1.569660229
909	1.562223375
910	1.557095824
911	1.556274493
912	1.555552448
913	1.549290211
914	1.545403283
915	1.541156039
916	1.54008864
917	1.53956799
918	1.538936497
919	1.534835769
920	1.534303911
921	1.533360665
922	1.526973962
923	1.521383372
924	1.51453414
925	1.508240129
926	1.50773345
927	1.507144965
928	1.503790701
929	1.501572897
930	1.500969151
931	1.499969798
932	1.497011149
933	1.490223143
934	1.484922645
935	1.479613169
936	1.475297685
937	1.469515102
938	1.468787429
939	1.462175775
940	1.458178037
941	1.457500862
942	1.4513409
943	1.450700301
944	1.449793424
945	1.449262169
946	1.443556134
947	1.438654886
948	1.43726264
949	1.433830728
950	1.430745069
951	1.429912864
952	1.423901966
953	1.422988217
954	1.419956303
955	1.419110926
956	1.418523854
957	1.416169256
958	1.410705876
959	1.407607516
960	1.405863422
961	1.405182951
962	1.403311089
963	1.400380631
964	1.398710153
965	1.398125846
966	1.397508288
967	1.393115696
968	1.392610385
969	1.391958562
970	1.390224201
971	1.385739373
972	1.381015376
973	1.377225313
974	1.376630568
975	1.374678231
976	1.368732914
977	1.367940118
978	1.364865532
979	1.360767037
980	1.359050033
981	1.354083578
982	1.349604392
983	1.34500394
984	1.340582288
985	1.338062476
986	1.335262922
987	1.332038644
988	1.331264524
989	1.33081413
990	1.330412284
991	1.329685743
992	1.326017007
993	1.320648631
994	1.316500425
995	1.314346421
996	1.310029046
997	1.305542153
998	1.30136358
999	1.299428186
