,Unnamed: 0,ticker,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5,resultado
693,693,POMO3_2019,1.35,20.88,1.82,13.47,16.71,0.97,0.81,3.18,1.78,15.61,19.35,0.21,2.44,0.0,0.27,2.01,2.5,0.44,0.55,1.87,15.07,7.23,5.83,4.67,8.72,3.88,5.25,0.83,4.88,1.94,2.8452020202020205
694,694,POMO3_2020,3.42,24.8,1.01,8.53,14.93,0.72,0.44,1.77,0.96,12.1,21.18,0.11,2.7,0.0,0.39,3.27,5.72,0.44,0.56,1.85,16.59,8.41,4.8,2.89,4.07,1.77,2.81,0.61,5.56,3.62,2.601566265060241
695,695,POMO3_2021,4.28,6.46,0.81,7.45,10.38,0.68,0.36,1.77,0.72,11.63,16.22,0.39,3.07,0.0,0.34,3.14,4.37,0.44,0.56,1.66,10.18,9.08,6.52,10.48,12.62,5.51,3.86,0.53,6.33,10.82,2.301336032388664
696,696,POMO3_2022,5.92,5.06,0.72,5.32,8.55,0.42,0.31,1.22,0.7,8.73,14.03,0.47,3.34,0.0,0.38,2.8,4.5,0.43,0.57,1.81,15.32,7.89,4.91,8.29,14.2,6.07,4.35,0.73,13.49,44.15,2.061
697,697,POMO3_2023,4.14,6.66,1.57,5.94,7.4,0.83,0.7,2.14,1.77,8.08,10.07,0.84,3.56,0.03,0.31,1.16,1.44,0.44,0.55,2.16,21.68,13.91,11.16,12.41,23.64,10.46,10.28,0.84,13.49,61.66,3.5638306451612904
710,710,BOBR3_2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.94,0.0,0.0,1.67,1.93,0.36,1.36,0.58,37.35,12.82,11.13,3.47,16.3,5.92,500.5,1.71,1.1,0.0,1.0
725,725,BALM3_2019,0.0,18.03,1.12,10.19,13.77,0.75,0.59,2.15,1.43,11.02,14.89,0.64,10.26,0.0,0.17,1.58,2.14,0.53,0.43,1.88,51.76,7.41,5.48,4.19,6.22,3.28,2.12,0.78,5.12,11.47,10.66
726,726,BALM3_2020,5.7,11.92,1.8,9.86,11.76,1.25,0.95,3.05,2.4,8.04,9.59,1.74,11.54,0.0,0.11,0.63,0.75,0.53,0.43,2.05,50.03,12.63,10.6,10.45,15.06,7.94,8.91,0.76,7.78,3.83,15.286249999999999
727,727,BALM3_2021,2.18,9.57,1.17,9.28,12.88,1.14,0.67,1.55,2.17,7.14,9.91,1.63,13.29,0.0,0.17,1.36,1.89,0.57,0.42,2.67,56.16,12.32,8.87,11.93,12.26,7.0,5.59,0.59,3.42,39.56,17.029316770186334
728,728,BALM3_2022,23.5,19.82,0.85,5.1,6.25,0.69,0.46,1.07,1.57,3.96,4.85,0.59,13.63,0.0,0.13,0.79,0.97,0.54,0.46,2.51,58.3,13.54,11.05,3.49,4.29,2.31,8.87,0.66,8.44,53.41,12.54093023255814
