,Unnamed: 0,ticker,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5,resultado
231,231,SPRI5_2021,0.0,1.3,0.96,0.0,1.18,0.0,0.93,1.81,1.93,0.0,2.46,6.54,8.86,0.0,0.14,0.0,0.17,0.96,0.04,66.47,0.0,0.0,0.0,0.0,73.82,71.18,81.66,0.0,0.0,0.0,
232,232,SPRI5_2022,0.0,1.3,0.96,0.0,1.18,0.0,0.93,1.81,1.93,0.0,2.46,6.54,8.86,0.0,0.14,0.0,0.17,0.96,0.04,66.47,0.0,0.0,0.0,0.0,73.82,71.18,81.66,0.0,0.0,0.0,
233,233,SPRI5_2023,0.0,1.3,0.96,0.0,1.18,0.0,0.93,1.81,1.93,0.0,2.46,6.54,8.86,0.0,0.14,0.0,0.17,0.96,0.04,66.47,0.0,0.0,0.0,0.0,73.82,71.18,81.66,0.0,0.0,0.0,
234,234,FNCN3_2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.27,3.22,79.88,0.0,13.89,8.58,3.0,2.19,0.0,0.26,0.0,0.0,
235,235,FNCN3_2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.26,3.35,83.5,0.0,18.07,18.7,6.83,5.05,0.0,0.27,0.0,0.0,
236,236,FNCN3_2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,19.98,0.0,0.0,0.0,0.0,0.72,0.28,2.9,74.04,0.0,10.29,7.27,2.48,1.78,0.0,0.25,0.0,0.0,
237,237,FNCN3_2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,20.27,0.0,0.0,0.0,0.0,0.75,0.25,3.37,80.59,0.0,13.9,9.87,3.41,2.57,0.0,0.26,0.0,0.0,
238,238,FNCN3_2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,23.84,0.0,0.0,0.0,0.0,0.72,0.28,3.68,66.64,0.0,2.25,20.34,6.4,4.59,0.0,0.23,0.0,0.0,
239,239,FNCN3_2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,23.52,0.0,0.0,0.0,0.0,0.75,0.25,3.91,80.61,0.0,11.34,6.4,2.15,1.61,0.0,0.25,3.2,2.67,
240,240,FNCN3_2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,24.2,0.0,0.0,0.0,0.0,0.75,0.25,3.9,80.14,0.0,5.94,9.34,3.08,2.3,0.0,0.25,1.66,11.52,
241,241,FNCN3_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.97,19.0,0.0,0.0,0.0,0.0,0.79,0.21,4.42,26.21,0.0,139.97,75.06,26.14,20.54,0.0,0.27,0.59,0.0,
242,242,FNCN3_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,18.43,0.0,0.0,0.0,0.0,0.84,0.16,6.28,80.2,0.0,5.11,2.5,0.76,0.64,0.0,0.25,4.39,0.0,
243,243,FNCN3_2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,17.67,0.0,0.0,0.0,0.0,0.88,0.12,6.47,75.42,0.0,9.34,5.89,2.32,2.03,0.0,0.35,1.47,23.1,
244,244,FNCN3_2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54,15.25,0.0,0.0,0.0,0.0,0.93,0.07,19.98,99.82,0.0,27.52,104.45,16.67,15.57,0.0,0.15,20.97,0.0,
245,245,FNCN3_2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,14.33,0.0,0.0,0.0,0.0,0.94,0.06,17.45,99.43,21.67,24.71,29.86,4.79,4.5,0.0,0.15,22.05,0.0,
246,246,FNCN3_2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,12.09,0.0,0.0,0.0,0.0,0.95,0.05,26.75,97.02,355.96,366.49,366.32,18.89,18.04,0.0,0.05,37.65,0.0,
247,247,FNCN3_2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,10.83,0.0,0.0,0.0,0.0,0.91,0.09,9.12,100.95,64.18,67.91,67.79,11.55,10.47,0.0,0.15,19.89,0.0,15.145714285714286
248,248,FNCN3_2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.79,0.0,29.03,114.35,0.0,0.0,0.0,0.0,12.29,58.72,13.667333333333334
249,249,FNCN3_2023,3.75,19.82,0.92,0.0,9.7,3.09,0.73,1.16,2.42,0.0,9.7,0.72,15.44,0.24,0.0,0.0,0.0,0.79,0.21,9.25,90.74,0.0,31.87,15.6,4.66,3.66,0.0,0.23,12.29,11.87,
250,250,ELET5_2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,3.37,0.5,0.5,2.17,84.91,0.0,15.68,3.53,1.32,0.66,3.19,0.19,0.0,0.0,
251,251,ELET5_2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,3.99,0.48,0.52,1.79,85.64,0.0,14.8,7.54,3.2,1.53,2.75,0.2,0.0,0.0,
252,252,ELET5_2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.23,2.76,56.81,0.0,0.34,0.0,6.06,0.47,0.53,1.4,86.1,0.0,12.69,11.0,4.86,2.27,2.88,0.21,0.0,0.0,
253,253,ELET5_2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.22,5.09,49.6,0.0,0.56,0.0,4.16,0.39,0.6,1.76,62.7,0.0,32.49,24.56,10.14,3.99,7.96,0.16,0.0,0.0,
254,254,ELET5_2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.39,4.57,44.72,0.0,0.39,6.56,4.65,0.44,0.56,1.53,49.19,15.48,21.82,25.96,10.08,4.46,6.82,0.17,0.0,0.0,
255,255,ELET5_2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.04,22.09,2.24,41.8,0.0,0.61,193.77,17.76,0.39,0.61,1.58,45.82,0.59,6.49,10.06,5.36,2.1,3.71,0.21,3.13,0.0,
256,256,ELET5_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52,3.86,10.68,31.12,0.0,0.93,3.67,3.14,0.28,0.72,1.05,47.86,32.84,38.49,44.31,34.31,9.65,14.74,0.22,1.8,0.0,
257,257,ELET5_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.03,4.43,2.53,32.68,0.0,0.88,2.22,2.44,0.26,0.74,0.94,73.12,29.05,26.45,5.68,7.75,2.01,8.18,0.35,12.2,1.7,
258,258,ELET5_2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.15,10.4,1.3,31.3,0.0,0.89,10.56,6.05,0.24,0.75,1.09,67.87,12.1,21.12,5.99,4.17,1.02,4.69,0.17,1.0,0.0,
259,259,ELET5_2018,0.0,3.03,0.72,2.22,2.2,1.61,0.22,3.89,0.3,4.48,4.43,9.8,41.06,0.0,0.85,2.61,2.58,0.31,0.69,1.28,77.83,72.52,73.22,53.1,23.88,7.32,14.13,0.14,0.94,0.0,
260,260,ELET5_2019,4.41,5.31,0.8,4.58,6.72,2.05,0.32,3.77,0.42,6.96,10.22,7.91,52.42,0.0,0.5,2.83,4.16,0.4,0.6,1.59,75.55,44.73,30.48,38.58,15.09,6.03,6.11,0.16,1.65,0.0,40.53235294117647
261,261,ELET5_2020,5.0,11.37,0.98,8.18,8.36,2.48,0.4,3.84,0.54,9.96,10.18,4.04,46.83,0.0,0.41,3.42,3.5,0.41,0.59,1.71,72.63,30.32,29.66,21.8,8.63,3.54,6.62,0.16,2.25,0.0,36.732894736842105
262,262,ELET5_2021,4.86,17.92,1.33,8.19,8.09,2.92,0.54,6.38,0.68,6.38,6.31,3.6,48.52,0.0,0.35,2.15,2.12,0.4,0.59,1.66,72.05,35.67,36.1,16.31,7.42,3.0,5.97,0.18,10.51,10.51,62.87148148148148
263,263,ELET5_2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.52,16.98,1.58,48.02,0.0,0.31,3.75,4.38,0.41,0.59,1.88,53.46,26.5,22.66,10.67,3.29,1.35,4.11,0.13,2.97,0.0,
264,264,ELET5_2023,2.41,61.25,1.73,12.94,14.18,5.56,0.71,7.23,0.9,9.13,10.0,1.39,49.03,1.93,0.35,2.58,2.83,0.41,0.59,1.88,49.99,43.0,39.25,9.09,2.83,1.16,7.24,0.13,2.97,0.0,74.14076923076924
265,265,ENMT3_2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,2.77,4.08,0.36,0.64,0.62,22.01,21.47,14.6,8.91,12.93,4.69,9.72,0.53,0.0,0.0,
266,266,ENMT3_2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,3.38,5.37,0.35,0.65,0.75,18.36,17.77,11.18,0.95,1.59,0.56,8.07,0.59,0.0,0.0,
267,267,ENMT3_2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,10.75,0.0,0.89,2.12,2.89,0.36,0.64,0.92,27.76,26.69,19.61,7.31,11.5,4.14,12.7,0.57,0.0,0.0,
268,268,ENMT3_2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,10.42,0.0,0.9,4.58,7.54,0.32,0.68,0.67,20.08,10.39,6.3,2.26,4.27,1.38,5.47,0.61,0.0,0.0,
